Class,TP,TP_std,TN,TN_std,FP,FP_std,FN,FN_std,Precision,Precision_std,Recall,Recall_std,F1-score,F1-score_std,AUC,AUC_std,Prevalence,Prevalence_std,ES-AUC,ES-AUC_std
Atelectasis (Female),839.67,27.65,3499.67,110.11,1700.33,110.11,523.33,27.65,0.33,0.01,0.62,0.02,0.43,0.0,0.7,0.01,0.21,0.0,,
Atelectasis (Male),1244.0,10.0,4852.0,87.02,2404.0,87.02,672.0,10.0,0.34,0.01,0.65,0.01,0.45,0.0,0.72,0.01,0.21,0.0,0.69,0.0
Cardiomegaly (Female),267.0,56.32,5646.33,141.37,388.67,141.37,261.0,56.32,0.42,0.05,0.51,0.11,0.45,0.02,0.83,0.02,0.08,0.0,,
Cardiomegaly (Male),263.0,45.74,8117.67,193.27,513.33,193.27,278.0,45.74,0.35,0.05,0.49,0.08,0.4,0.01,0.81,0.0,0.06,0.0,0.81,0.0
Consolidation (Female),280.67,61.17,4302.67,287.64,1484.33,287.64,495.33,61.17,0.16,0.0,0.36,0.08,0.22,0.02,0.6,0.01,0.12,0.0,,
Consolidation (Male),410.33,103.06,5927.0,551.34,2206.0,551.34,628.67,103.06,0.16,0.0,0.39,0.1,0.22,0.02,0.6,0.01,0.11,0.0,0.59,0.01
Edema (Female),170.67,47.75,5343.67,250.94,815.33,250.94,233.33,47.75,0.17,0.02,0.42,0.12,0.24,0.03,0.73,0.04,0.06,0.0,,
Edema (Male),158.0,59.86,7738.67,279.53,912.33,279.53,363.0,59.86,0.15,0.01,0.3,0.11,0.19,0.03,0.7,0.04,0.06,0.0,0.69,0.03
Effusion (Female),1258.0,93.79,3235.33,182.48,1406.67,182.48,663.0,93.79,0.47,0.01,0.65,0.05,0.55,0.01,0.73,0.0,0.29,0.0,,
Effusion (Male),1833.33,118.16,4691.33,183.0,1743.67,183.0,903.67,118.16,0.51,0.01,0.67,0.04,0.58,0.01,0.76,0.01,0.3,0.0,0.73,0.0
Emphysema (Female),262.0,15.52,5517.0,146.26,665.0,146.26,119.0,15.52,0.29,0.03,0.69,0.04,0.4,0.03,0.88,0.01,0.06,0.0,,
Emphysema (Male),527.67,30.62,7453.0,345.62,1007.0,345.62,184.33,30.62,0.35,0.06,0.74,0.04,0.48,0.05,0.89,0.01,0.08,0.0,0.87,0.0
Fibrosis (Female),59.33,19.5,5746.33,306.14,632.67,306.14,124.67,19.5,0.09,0.02,0.32,0.11,0.14,0.01,0.74,0.02,0.03,0.0,,
Fibrosis (Male),97.0,35.55,8080.67,418.48,840.33,418.48,154.0,35.55,0.11,0.02,0.39,0.14,0.16,0.01,0.75,0.01,0.03,0.0,0.73,0.02
Hernia (Female),25.0,2.0,6407.0,78.04,111.0,78.04,20.0,2.0,0.27,0.22,0.56,0.04,0.33,0.17,0.87,0.0,0.01,0.0,,
Hernia (Male),12.0,3.61,8986.0,125.01,145.0,125.01,29.0,3.61,0.14,0.14,0.29,0.09,0.15,0.09,0.8,0.02,0.0,0.0,0.78,0.02
Infiltration (Female),1602.0,100.01,2332.0,156.79,1756.0,156.79,873.0,100.01,0.48,0.01,0.65,0.04,0.55,0.01,0.64,0.0,0.38,0.0,,
Infiltration (Male),2346.33,130.48,3028.0,175.16,2507.0,175.16,1290.67,130.48,0.48,0.0,0.65,0.04,0.55,0.01,0.63,0.01,0.4,0.0,0.63,0.01
Mass (Female),375.67,7.37,4669.33,116.79,1211.67,116.79,306.33,7.37,0.24,0.02,0.55,0.01,0.33,0.02,0.74,0.01,0.1,0.0,,
Mass (Male),662.0,19.0,6181.33,197.29,1924.67,197.29,404.0,19.0,0.26,0.02,0.62,0.02,0.36,0.02,0.75,0.01,0.12,0.0,0.74,0.01
Nodule (Female),350.67,20.84,4660.67,119.63,1210.33,119.63,341.33,20.84,0.23,0.01,0.51,0.03,0.31,0.0,0.7,0.01,0.11,0.0,,
Nodule (Male),450.33,13.87,6432.33,103.78,1808.67,103.78,480.67,13.87,0.2,0.01,0.48,0.01,0.28,0.02,0.69,0.02,0.1,0.0,0.68,0.02
Pleural_Thickening (Female),265.0,25.16,4524.33,109.87,1575.67,109.87,198.0,25.16,0.14,0.01,0.57,0.05,0.23,0.01,0.72,0.02,0.07,0.0,,
Pleural_Thickening (Male),386.33,29.57,6040.67,194.72,2451.33,194.72,293.67,29.57,0.14,0.0,0.57,0.04,0.22,0.01,0.69,0.01,0.07,0.0,0.68,0.01
Pneumonia (Female),33.33,3.06,5791.33,35.02,550.67,35.02,187.67,3.06,0.06,0.01,0.15,0.01,0.08,0.01,0.56,0.02,0.03,0.0,,
Pneumonia (Male),61.67,3.06,7952.0,48.51,886.0,48.51,272.33,3.06,0.07,0.0,0.18,0.01,0.1,0.0,0.58,0.03,0.04,0.0,0.56,0.02
Pneumothorax (Female),883.0,39.61,4108.67,158.64,1223.33,158.64,348.0,39.61,0.42,0.02,0.72,0.03,0.53,0.01,0.82,0.01,0.19,0.0,,
Pneumothorax (Male),905.0,27.87,6277.67,139.09,1460.33,139.09,529.0,27.87,0.38,0.02,0.63,0.02,0.48,0.01,0.8,0.01,0.16,0.0,0.79,0.01
