epoch, es_acc, acc, acc_class0, acc_class1, acc_class2, es_auc, auc, auc_class0, auc_class1, auc_class2, dpd, dpr, eod, eor, path,run_name
2.0,0.7182,0.7789,0.8067,0.7367,0.7933,0.8083,0.8609,0.881,0.8169,0.8621,0.18,0.6687,0.1812,0.2334, ./results/GENIO/fin/run_20250619_222631_rnflt_fin_race_ablation_of_sigma/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6_auc0.8609,run_20250619_222631_rnflt_fin_race_ablation_of_sigma
2.0,0.7182,0.7789,0.7933,0.7367,0.8067,0.8176,0.8555,0.8605,0.824,0.8654,0.1367,0.7355,0.131,0.3448, ./results/GENIO/fin/run_20250619_225120_rnflt_fin_race_ablation_of_sigma/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6_auc0.8555,run_20250619_225120_rnflt_fin_race_ablation_of_sigma
2.0,0.7197,0.7789,0.82,0.7433,0.7733,0.8222,0.8562,0.8619,0.8233,0.859,0.2133,0.6464,0.2193,0.2903, ./results/GENIO/fin/run_20250619_222237_rnflt_fin_race_ablation_of_sigma/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6_auc0.8562,run_20250619_222237_rnflt_fin_race_ablation_of_sigma
4.0,0.6998,0.7822,0.8233,0.7233,0.8,0.8019,0.8565,0.8712,0.8133,0.8667,0.18,0.6879,0.2103,0.2989, ./results/GENIO/fin/run_20250619_224728_rnflt_fin_race_ablation_of_sigma/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6_auc0.8565,run_20250619_224728_rnflt_fin_race_ablation_of_sigma
2.0,0.7056,0.7778,0.81,0.7267,0.7967,0.796,0.8545,0.8674,0.8056,0.8661,0.1767,0.6882,0.1922,0.3181, ./results/GENIO/fin/run_20250619_221830_rnflt_fin_race_ablation_of_sigma/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6_auc0.8545,run_20250619_221830_rnflt_fin_race_ablation_of_sigma
2.0,0.7165,0.7833,0.8267,0.7367,0.7867,0.7922,0.8532,0.8814,0.8118,0.8458,0.1833,0.6626,0.1851,0.217, ./results/GENIO/fin/run_20250619_221146_rnflt_fin_race_ablation_of_sigma/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6_auc0.8532,run_20250619_221146_rnflt_fin_race_ablation_of_sigma
0.0,0.7081,0.76,0.7567,0.7267,0.7967,0.7883,0.8387,0.8603,0.8082,0.8268,0.2667,0.633,0.3483,0.3034, ./results/GENIO/fin/run_20250619_223256_rnflt_fin_race_ablation_of_sigma/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6_auc0.8387,run_20250619_223256_rnflt_fin_race_ablation_of_sigma
4.0,0.705,0.7567,0.7933,0.73,0.7467,0.8009,0.8481,0.8598,0.807,0.8543,0.16,0.6547,0.1042,0.3034, ./results/GENIO/fin/run_20250619_223925_rnflt_fin_race_ablation_of_sigma/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6_auc0.8481,run_20250619_223925_rnflt_fin_race_ablation_of_sigma
3.0,0.6951,0.76,0.79,0.7133,0.7767,0.7955,0.8592,0.8762,0.8098,0.8731,0.1533,0.6933,0.1539,0.2639, ./results/GENIO/fin/run_20250620_070558_rnflt_fin_race_ablation_of_sigma/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6_auc0.8592,run_20250620_070558_rnflt_fin_race_ablation_of_sigma
2.0,0.7336,0.7956,0.8267,0.7533,0.8067,0.8071,0.8647,0.8846,0.8162,0.8675,0.1867,0.6744,0.1776,0.3022, ./results/GENIO/fin/run_20250619_224304_rnflt_fin_race_ablation_of_sigma/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6_auc0.8647,run_20250619_224304_rnflt_fin_race_ablation_of_sigma
2.3,0.7119800000000001,0.77523,0.80467,0.7326700000000002,0.7883500000000001,0.8029999999999999,0.8547499999999999,0.87043,0.8136099999999999,0.85868,0.18367,0.67447,0.19031,0.28754,mean,mean
