epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6681,0.7014,0.6457,0.6571,0.7219,0.7312,0.713,0.7014,0.1329,0.7199,0.1231,0.5642,0.6184,0.76,0.7567,0.7267,0.7967,0.8387,0.8603,0.8082,0.8268,0.2667,0.633,0.3483,0.3034,0.7081,0.7883,13.1187
1,0.7224,0.73,0.7257,0.7114,0.7892,0.789,0.7893,0.7716,0.1871,0.6805,0.136,0.5783,0.5511,0.7667,0.8133,0.72,0.7667,0.8295,0.8579,0.7895,0.8166,0.1967,0.6446,0.1969,0.2782,0.7012,0.7671,39.0244
2,0.7381,0.7514,0.7014,0.7614,0.8149,0.8236,0.7894,0.8094,0.2043,0.6619,0.2151,0.4292,0.5235,0.7744,0.8167,0.7433,0.7633,0.8378,0.8724,0.8142,0.8056,0.2033,0.6303,0.1674,0.2918,0.7141,0.7683,64.1555
3,0.7452,0.7643,0.7329,0.7386,0.8158,0.8382,0.7936,0.797,0.2386,0.6071,0.1896,0.4432,0.5252,0.7656,0.8167,0.7333,0.7467,0.8218,0.8614,0.7718,0.7965,0.2167,0.6429,0.2183,0.333,0.6946,0.7371,22.2973
4,0.7776,0.8057,0.7643,0.7629,0.8493,0.8769,0.8302,0.8237,0.2171,0.6457,0.1782,0.4212,0.4826,0.7511,0.7733,0.73,0.75,0.8135,0.8468,0.7849,0.7795,0.2167,0.6734,0.2229,0.4552,0.7191,0.7423,23.4034
5,0.7981,0.8071,0.7871,0.8,0.8737,0.887,0.8593,0.8636,0.2143,0.6568,0.1692,0.4236,0.4474,0.7711,0.7867,0.7667,0.76,0.8341,0.8617,0.8053,0.8066,0.2433,0.6237,0.2053,0.3896,0.7478,0.7695,12.3551
6,0.7962,0.8357,0.7471,0.8057,0.8752,0.8984,0.8346,0.8752,0.2257,0.6497,0.2615,0.2925,0.4484,0.7278,0.75,0.7133,0.72,0.8152,0.8555,0.7976,0.7689,0.3033,0.5973,0.3339,0.398,0.6968,0.7383,20.3147
7,0.8224,0.8386,0.8243,0.8043,0.8951,0.9072,0.896,0.8755,0.2243,0.6391,0.1536,0.4676,0.4103,0.7689,0.7967,0.7733,0.7367,0.8333,0.8735,0.7951,0.8031,0.2,0.6667,0.1625,0.4863,0.7223,0.7517,32.8172
8,0.8233,0.8386,0.81,0.8214,0.9056,0.9208,0.8907,0.8956,0.1786,0.71,0.1293,0.4902,0.3972,0.7533,0.78,0.75,0.73,0.8213,0.8624,0.7838,0.7892,0.23,0.6425,0.1821,0.4863,0.7152,0.7395,54.0051
9,0.8224,0.8229,0.8114,0.8329,0.9024,0.9112,0.8955,0.8902,0.1914,0.6927,0.1396,0.465,0.4067,0.74,0.7833,0.7267,0.71,0.8027,0.8515,0.7533,0.7693,0.21,0.6753,0.2242,0.4264,0.681,0.7094,124.2082
