epoch, es_acc, acc, acc_class0, acc_class1, acc_class2, es_auc, auc, auc_class0, auc_class1, auc_class2, dpd, dpr, eod, eor, path,run_name
3.0,0.6946,0.7733,0.82,0.7167,0.7833,0.7805,0.8494,0.8767,0.7949,0.8558,0.1633,0.6879,0.1787,0.2441, ./results/GENIO/nofin/run_20250619_191936_rnflt_race/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6_auc0.8494,run_20250619_191936_rnflt_race
3.0,0.6886,0.7667,0.8067,0.71,0.7833,0.7878,0.8478,0.874,0.8011,0.851,0.1567,0.7283,0.19,0.4029, ./results/GENIO/nofin/run_20250619_214018_rnflt_race/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6_auc0.8478,run_20250619_214018_rnflt_race
3.0,0.7069,0.7744,0.8067,0.7267,0.79,0.7926,0.848,0.871,0.8051,0.852,0.14,0.7586,0.1526,0.4915, ./results/GENIO/nofin/run_20250619_194217_rnflt_race/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6_auc0.8480,run_20250619_194217_rnflt_race
1.0,0.6984,0.7744,0.8067,0.72,0.7967,0.7826,0.8491,0.8777,0.801,0.8573,0.1,0.8171,0.1119,0.5755, ./results/GENIO/nofin/run_20250619_195702_rnflt_race/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6_auc0.8491,run_20250619_195702_rnflt_race
2.0,0.7108,0.7756,0.8133,0.73,0.7833,0.7916,0.8537,0.8737,0.8068,0.8651,0.1367,0.7602,0.1472,0.4777, ./results/GENIO/nofin/run_20250619_192803_rnflt_race/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6_auc0.8537,run_20250619_192803_rnflt_race
2.0,0.6912,0.7833,0.8467,0.7167,0.7867,0.7837,0.8556,0.8815,0.8007,0.8665,0.0967,0.7943,0.1188,0.2742, ./results/GENIO/nofin/run_20250619_193308_rnflt_race/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6_auc0.8556,run_20250619_193308_rnflt_race
3.0,0.7227,0.7789,0.8133,0.74,0.7833,0.7956,0.851,0.8821,0.8144,0.8491,0.1067,0.8095,0.1007,0.6044, ./results/GENIO/nofin/run_20250619_200333_rnflt_race/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6_auc0.8510,run_20250619_200333_rnflt_race
2.0,0.7022,0.7756,0.8033,0.7233,0.8,0.804,0.8498,0.8681,0.8151,0.8537,0.1467,0.7233,0.1402,0.4068, ./results/GENIO/nofin/run_20250619_214508_rnflt_race/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6_auc0.8498,run_20250619_214508_rnflt_race
4.0,0.7051,0.7678,0.7833,0.7233,0.7967,0.7712,0.846,0.8665,0.7939,0.8706,0.1267,0.7853,0.1527,0.5202, ./results/GENIO/nofin/run_20250619_194629_rnflt_race/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6_auc0.8460,run_20250619_194629_rnflt_race
5.0,0.6996,0.7711,0.81,0.72,0.7833,0.786,0.8549,0.8855,0.8022,0.8592,0.11,0.7988,0.1226,0.5349, ./results/GENIO/nofin/run_20250619_204945_rnflt_race/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6_auc0.8549,run_20250619_204945_rnflt_race
2.8,0.70201,0.77411,0.8109999999999999,0.72267,0.7886599999999999,0.78756,0.85053,0.87568,0.80352,0.85803,0.12835000000000002,0.7663300000000001,0.14154,0.45322000000000007,mean,mean
