epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.7014,0.7214,0.6714,0.7114,0.7471,0.7629,0.7248,0.7447,0.0871,0.8185,0.0627,0.7565,0.6104,0.7678,0.8067,0.6967,0.8,0.8393,0.8665,0.7942,0.8441,0.13,0.7484,0.1584,0.3777,0.6722,0.7792,0.4856
1,0.7105,0.7286,0.6929,0.71,0.777,0.8037,0.7648,0.7526,0.11,0.7913,0.0844,0.7086,0.5596,0.7633,0.8033,0.7033,0.7833,0.8407,0.8631,0.7977,0.8453,0.14,0.7358,0.1611,0.389,0.6815,0.7857,0.4855
2,0.7233,0.7529,0.71,0.7071,0.8032,0.8243,0.789,0.7831,0.1486,0.738,0.1351,0.5764,0.536,0.7656,0.81,0.7067,0.78,0.8398,0.8634,0.7946,0.8445,0.15,0.7384,0.19,0.4029,0.6849,0.7823,0.4839
3,0.75,0.7714,0.74,0.7386,0.8247,0.8396,0.8214,0.7963,0.1571,0.7317,0.126,0.5861,0.5118,0.7733,0.82,0.7167,0.7833,0.8494,0.8767,0.7949,0.8558,0.1633,0.6879,0.1787,0.2441,0.6946,0.7805,0.5109
4,0.7638,0.7943,0.7443,0.7529,0.8468,0.8771,0.8326,0.8223,0.15,0.7395,0.1349,0.5288,0.4857,0.7722,0.81,0.73,0.7767,0.8447,0.8699,0.8069,0.841,0.1667,0.697,0.1648,0.3526,0.7121,0.7919,0.4919
5,0.7738,0.8114,0.7457,0.7643,0.8545,0.8831,0.8342,0.8367,0.1314,0.77,0.1303,0.5328,0.4781,0.76,0.7933,0.72,0.7667,0.843,0.8728,0.7961,0.8435,0.1333,0.75,0.1237,0.4962,0.7037,0.7826,0.5037
6,0.7933,0.8243,0.7829,0.7729,0.8614,0.8825,0.8637,0.8289,0.1529,0.7415,0.1221,0.5253,0.4669,0.7522,0.7933,0.6967,0.7667,0.8414,0.8619,0.802,0.8444,0.1233,0.7643,0.1418,0.462,0.677,0.7916,0.5071
7,0.8129,0.8357,0.8057,0.7971,0.8864,0.9015,0.8868,0.864,0.1214,0.7854,0.0659,0.6631,0.4262,0.7567,0.8033,0.7133,0.7533,0.8422,0.8758,0.8003,0.8345,0.17,0.6964,0.1883,0.3526,0.6921,0.7775,0.5427
8,0.8062,0.82,0.78,0.8186,0.891,0.9099,0.8682,0.8894,0.1486,0.75,0.1185,0.5518,0.4202,0.7511,0.7833,0.7167,0.7533,0.8431,0.8737,0.7964,0.8413,0.1267,0.7099,0.0733,0.3797,0.7027,0.7813,0.7461
9,0.8229,0.8557,0.7814,0.8314,0.8974,0.9148,0.8717,0.8919,0.1571,0.7284,0.1373,0.4342,0.4118,0.7489,0.8,0.6933,0.7533,0.8213,0.8468,0.7742,0.8214,0.1733,0.7174,0.2371,0.3936,0.674,0.7657,0.6035
