epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6586,0.6757,0.6357,0.6643,0.7201,0.7303,0.6897,0.7164,0.3243,0.4805,0.3292,0.322,0.6097,0.7711,0.8033,0.74,0.77,0.838,0.8548,0.8032,0.8398,0.1967,0.657,0.183,0.3291,0.7244,0.7954,0.5154
1,0.7162,0.7429,0.6857,0.72,0.7807,0.8049,0.76,0.7599,0.2143,0.6445,0.2301,0.4175,0.5632,0.7689,0.79,0.75,0.7667,0.8458,0.8693,0.8047,0.8435,0.1867,0.7037,0.1708,0.4921,0.7377,0.7928,0.4918
2,0.729,0.7329,0.7243,0.73,0.8136,0.8098,0.8159,0.8004,0.1986,0.6651,0.15,0.5499,0.5241,0.7756,0.8333,0.7333,0.76,0.8501,0.8748,0.8095,0.8437,0.1833,0.6646,0.1814,0.2612,0.6952,0.7933,0.5056
3,0.7538,0.7614,0.7557,0.7443,0.8293,0.8344,0.8204,0.8182,0.1871,0.6932,0.1341,0.5745,0.5065,0.7633,0.81,0.7233,0.7567,0.8403,0.8646,0.7981,0.8411,0.1833,0.6746,0.1715,0.3915,0.6982,0.7872,0.5062
4,0.7648,0.7643,0.7586,0.7714,0.8496,0.8428,0.8427,0.8467,0.1943,0.6902,0.1527,0.5418,0.4801,0.7844,0.8367,0.74,0.7767,0.8522,0.8772,0.7995,0.8556,0.19,0.6724,0.2113,0.2502,0.7103,0.7882,0.5214
5,0.7876,0.8129,0.7629,0.7871,0.8624,0.8646,0.855,0.8572,0.2114,0.6574,0.1882,0.403,0.4609,0.78,0.8267,0.7333,0.78,0.8478,0.8701,0.8046,0.8509,0.1667,0.7126,0.1883,0.3526,0.7134,0.7933,0.5437
6,0.7976,0.8214,0.7629,0.8086,0.8719,0.8887,0.8435,0.8728,0.19,0.6818,0.1686,0.4185,0.4502,0.7733,0.8267,0.7133,0.78,0.8419,0.8661,0.7911,0.8468,0.16,0.7073,0.1958,0.2821,0.6905,0.7797,0.5702
7,0.8152,0.8143,0.8243,0.8071,0.8916,0.8877,0.8905,0.8869,0.19,0.6943,0.1073,0.5678,0.4183,0.7744,0.82,0.7133,0.79,0.8376,0.8596,0.7765,0.8511,0.2,0.6739,0.2547,0.2997,0.6901,0.7638,0.5976
8,0.8314,0.8614,0.8029,0.83,0.9031,0.9216,0.8833,0.8943,0.1914,0.6898,0.1699,0.3576,0.3972,0.7622,0.8233,0.7,0.7633,0.8363,0.8592,0.7873,0.8379,0.1767,0.6954,0.2402,0.2859,0.6779,0.7791,0.6378
9,0.8414,0.8571,0.8271,0.84,0.9087,0.9214,0.9005,0.8952,0.1657,0.7258,0.0961,0.558,0.3884,0.7433,0.7867,0.7067,0.7367,0.8194,0.8492,0.7667,0.8161,0.1667,0.7126,0.1798,0.4505,0.684,0.7546,0.6669
