epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6619,0.6543,0.6629,0.6686,0.7295,0.7215,0.7298,0.7137,0.19,0.6624,0.153,0.5923,0.6124,0.7656,0.8,0.7067,0.79,0.8442,0.8729,0.8025,0.8402,0.1733,0.7111,0.2304,0.3501,0.6849,0.7858,0.5459
1,0.7148,0.7329,0.6971,0.7143,0.7878,0.7961,0.7849,0.7639,0.1786,0.6891,0.1496,0.5653,0.5546,0.7733,0.8133,0.73,0.7767,0.8534,0.8775,0.809,0.8509,0.1833,0.6626,0.1814,0.2612,0.7117,0.7968,0.5561
2,0.7362,0.7386,0.7414,0.7286,0.8107,0.8161,0.813,0.7836,0.1943,0.6707,0.1353,0.5704,0.5347,0.7744,0.81,0.7233,0.79,0.857,0.8784,0.8166,0.8524,0.22,0.6842,0.2843,0.3867,0.7026,0.8036,0.5503
3,0.7486,0.7614,0.7471,0.7371,0.8186,0.8318,0.8224,0.7866,0.1743,0.6973,0.1191,0.6407,0.5275,0.7778,0.8067,0.7333,0.7933,0.8577,0.8863,0.8134,0.8516,0.2367,0.634,0.2784,0.2709,0.7143,0.7949,0.4761
4,0.7771,0.7729,0.7943,0.7643,0.8391,0.8416,0.8608,0.8034,0.1814,0.6887,0.1305,0.641,0.4979,0.7856,0.83,0.72,0.8067,0.8615,0.889,0.8125,0.8601,0.21,0.6786,0.285,0.3034,0.6945,0.7993,0.4812
5,0.7767,0.8071,0.76,0.7629,0.8593,0.8708,0.8547,0.8405,0.1871,0.6805,0.1655,0.4069,0.4694,0.7767,0.81,0.7333,0.7867,0.8596,0.8861,0.8196,0.849,0.2033,0.6823,0.2317,0.3784,0.7147,0.798,0.5145
6,0.7976,0.7971,0.8057,0.79,0.8773,0.8715,0.8811,0.8742,0.22,0.6468,0.1486,0.5027,0.4432,0.7667,0.7967,0.7167,0.7867,0.8541,0.8788,0.8111,0.8483,0.18,0.7366,0.2408,0.4703,0.697,0.7956,0.5255
7,0.8029,0.8086,0.8086,0.7914,0.8875,0.9058,0.8789,0.8688,0.1986,0.6706,0.1314,0.5636,0.4285,0.7444,0.8067,0.68,0.7467,0.8225,0.8591,0.7613,0.8178,0.1767,0.6807,0.2247,0.3134,0.6594,0.7461,0.5816
8,0.8286,0.8314,0.8271,0.8271,0.8981,0.8963,0.8951,0.8929,0.21,0.6636,0.1322,0.4552,0.4091,0.7633,0.8033,0.7267,0.76,0.8414,0.8824,0.7916,0.8238,0.1633,0.7337,0.1852,0.4639,0.7068,0.759,0.6322
9,0.8362,0.8529,0.84,0.8157,0.9133,0.9208,0.9105,0.9026,0.19,0.695,0.1219,0.4572,0.3777,0.7756,0.83,0.7267,0.77,0.843,0.8752,0.8038,0.829,0.1167,0.7667,0.1204,0.3694,0.6994,0.7767,0.7468
