epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6905,0.7086,0.6757,0.6871,0.7387,0.7397,0.7372,0.7289,0.09,0.8,0.0508,0.7704,0.6043,0.7556,0.7933,0.7067,0.7667,0.841,0.861,0.7968,0.853,0.12,0.7692,0.1237,0.4962,0.6883,0.7814,0.4799
1,0.7171,0.72,0.7286,0.7029,0.7856,0.7851,0.7958,0.7696,0.1143,0.7714,0.0766,0.7837,0.5472,0.78,0.8267,0.73,0.7833,0.8492,0.8676,0.8042,0.8604,0.11,0.7785,0.1049,0.4231,0.7091,0.7901,0.4722
2,0.7371,0.76,0.7329,0.7186,0.8113,0.8292,0.8025,0.788,0.1357,0.7545,0.0915,0.7261,0.5251,0.77,0.82,0.71,0.78,0.852,0.8754,0.8034,0.8633,0.11,0.7843,0.1311,0.4231,0.6875,0.7865,0.4815
3,0.7552,0.7886,0.7386,0.7386,0.8221,0.8439,0.8072,0.8048,0.1129,0.7959,0.0888,0.6642,0.5142,0.7889,0.8267,0.7367,0.8033,0.8493,0.8641,0.8056,0.8616,0.1233,0.7673,0.122,0.4407,0.7143,0.793,0.4814
4,0.7757,0.8029,0.7457,0.7786,0.8449,0.8656,0.8267,0.8352,0.1371,0.7487,0.1004,0.5924,0.486,0.7756,0.8133,0.7367,0.7767,0.8486,0.872,0.806,0.86,0.1233,0.7673,0.1009,0.5374,0.7196,0.7877,0.4873
5,0.7867,0.7957,0.7786,0.7857,0.8614,0.8791,0.8533,0.847,0.1171,0.787,0.043,0.7952,0.4614,0.7722,0.8233,0.7067,0.7867,0.8425,0.8686,0.7933,0.8542,0.1033,0.7961,0.1238,0.4552,0.6827,0.775,0.5357
6,0.7971,0.8114,0.7729,0.8071,0.8773,0.8844,0.8614,0.8735,0.1386,0.7605,0.105,0.5861,0.4406,0.7744,0.8033,0.72,0.8,0.8385,0.8644,0.7864,0.8519,0.0833,0.8418,0.0984,0.5836,0.6984,0.7682,0.557
7,0.811,0.8143,0.8086,0.81,0.8845,0.8759,0.8885,0.882,0.1286,0.7739,0.0497,0.7459,0.4299,0.7644,0.8,0.7233,0.77,0.8408,0.8655,0.7909,0.8554,0.1367,0.7389,0.1247,0.4513,0.7064,0.772,0.5962
8,0.8233,0.85,0.8114,0.8086,0.8973,0.912,0.886,0.8892,0.1471,0.7488,0.0867,0.5942,0.4087,0.7556,0.7867,0.7,0.78,0.8168,0.8448,0.7552,0.8293,0.14,0.7742,0.1858,0.5247,0.68,0.7412,0.6069
9,0.8333,0.8543,0.8157,0.83,0.9078,0.9192,0.8996,0.9021,0.0957,0.8312,0.0469,0.7459,0.3913,0.7578,0.7933,0.7033,0.7767,0.823,0.856,0.7562,0.8403,0.1233,0.7836,0.1596,0.4985,0.6834,0.7368,0.6466
