epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6857,0.69,0.6929,0.6743,0.7353,0.7458,0.7466,0.7095,0.0571,0.8689,0.0579,0.7503,0.6157,0.7533,0.74,0.73,0.79,0.8299,0.8389,0.7924,0.8619,0.1,0.8077,0.0452,0.7592,0.7019,0.7695,0.4986
1,0.7214,0.74,0.7171,0.7071,0.7893,0.7951,0.791,0.7731,0.1,0.8056,0.0509,0.7905,0.5456,0.77,0.76,0.73,0.82,0.8319,0.836,0.7971,0.8647,0.04,0.9286,0.133,0.8423,0.7,0.7762,0.4961
2,0.7252,0.7386,0.7171,0.72,0.7985,0.8187,0.7964,0.7723,0.1129,0.7806,0.0617,0.7459,0.5396,0.7567,0.77,0.73,0.77,0.848,0.8539,0.8088,0.8727,0.16,0.7143,0.1122,0.5032,0.7184,0.7926,0.4925
3,0.7581,0.7771,0.7443,0.7529,0.8262,0.8362,0.8156,0.8162,0.15,0.7342,0.115,0.5769,0.51,0.7667,0.78,0.75,0.77,0.8246,0.8235,0.7578,0.8784,0.14,0.8,0.1694,0.5962,0.7419,0.7352,0.5645
4,0.7624,0.79,0.7457,0.7514,0.8347,0.8524,0.8286,0.8098,0.15,0.7362,0.1267,0.5398,0.4951,0.7633,0.74,0.73,0.82,0.8411,0.8535,0.7915,0.8764,0.14,0.7667,0.1475,0.4921,0.6856,0.7666,0.5069
5,0.7876,0.7986,0.7729,0.7914,0.8618,0.8817,0.8413,0.8548,0.14,0.7627,0.0951,0.6451,0.4659,0.75,0.73,0.74,0.78,0.8242,0.8316,0.7658,0.8667,0.16,0.7681,0.1466,0.6503,0.7075,0.7437,0.5634
6,0.7786,0.7943,0.7671,0.7743,0.8599,0.8709,0.8535,0.8475,0.1557,0.7322,0.1131,0.5722,0.4649,0.78,0.76,0.76,0.82,0.8291,0.845,0.7508,0.8892,0.15,0.7761,0.1508,0.5751,0.7222,0.7184,0.5362
7,0.8124,0.84,0.7986,0.7986,0.8879,0.9041,0.8745,0.8783,0.1271,0.7747,0.084,0.5861,0.4237,0.7667,0.77,0.74,0.79,0.8265,0.8466,0.7639,0.8619,0.15,0.7619,0.1408,0.5636,0.7278,0.7391,0.6288
8,0.8062,0.8286,0.7914,0.7986,0.8903,0.9049,0.8824,0.8777,0.1457,0.7512,0.1013,0.5764,0.4249,0.7733,0.77,0.72,0.83,0.8323,0.8381,0.7765,0.8776,0.16,0.7377,0.1862,0.4227,0.6946,0.7521,0.6149
9,0.8238,0.83,0.8129,0.8286,0.9048,0.9151,0.8971,0.8977,0.1171,0.7935,0.0479,0.7459,0.3922,0.76,0.75,0.73,0.8,0.8123,0.8198,0.7419,0.8583,0.17,0.7344,0.173,0.5124,0.7037,0.7227,0.691
