epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6576,0.6886,0.65,0.6343,0.7285,0.7535,0.7149,0.6965,0.1771,0.7096,0.1547,0.6557,0.6106,0.7489,0.7567,0.7067,0.7833,0.8373,0.8573,0.7895,0.8516,0.1933,0.7212,0.2749,0.4294,0.6906,0.7738,0.4951
1,0.7338,0.7471,0.7443,0.71,0.7975,0.8076,0.7879,0.7778,0.2,0.6594,0.1657,0.5303,0.5446,0.7867,0.83,0.73,0.8,0.8556,0.8756,0.8054,0.8665,0.2133,0.6684,0.2664,0.3022,0.7066,0.7915,0.4687
2,0.7229,0.7414,0.7114,0.7157,0.7956,0.7964,0.7914,0.7825,0.2343,0.6273,0.1982,0.4982,0.5461,0.7878,0.8167,0.75,0.7967,0.8624,0.8802,0.815,0.8729,0.2167,0.6448,0.2263,0.2677,0.7324,0.8017,0.464
3,0.7519,0.76,0.74,0.7557,0.8245,0.8368,0.8114,0.8054,0.2171,0.6449,0.1779,0.472,0.511,0.7933,0.83,0.7533,0.7967,0.8662,0.8795,0.8172,0.8799,0.1767,0.6728,0.1578,0.2453,0.7346,0.8051,0.4843
4,0.7719,0.7729,0.7686,0.7743,0.8465,0.8465,0.8363,0.8431,0.2471,0.6156,0.1977,0.4195,0.4864,0.7944,0.8267,0.7567,0.8,0.867,0.8861,0.8172,0.8748,0.1667,0.6855,0.1426,0.2529,0.7386,0.8053,0.5346
5,0.7695,0.7871,0.7286,0.7929,0.8431,0.8412,0.8269,0.8478,0.2186,0.6491,0.2281,0.3767,0.4905,0.7833,0.8233,0.7267,0.8,0.858,0.8736,0.8155,0.8667,0.2433,0.6237,0.3013,0.2294,0.7036,0.8043,0.6477
6,0.7867,0.8,0.7786,0.7814,0.8655,0.8734,0.8622,0.8475,0.21,0.6605,0.1489,0.499,0.4607,0.7767,0.8033,0.72,0.8067,0.8429,0.8535,0.8056,0.8442,0.2433,0.6158,0.3129,0.1806,0.6976,0.8032,0.5475
7,0.8148,0.82,0.8243,0.8,0.8858,0.8894,0.8953,0.8637,0.2171,0.6569,0.1479,0.5344,0.4304,0.7822,0.8167,0.75,0.78,0.8532,0.8757,0.8108,0.8501,0.2067,0.6684,0.2031,0.3793,0.7318,0.7989,0.7482
8,0.8119,0.8143,0.8129,0.8086,0.8913,0.8973,0.8934,0.8753,0.1886,0.6894,0.1071,0.5523,0.4193,0.7578,0.8,0.7033,0.77,0.8381,0.8689,0.7885,0.8303,0.2167,0.6286,0.2536,0.246,0.6834,0.7702,0.6124
9,0.8252,0.8314,0.8186,0.8257,0.8984,0.9011,0.895,0.8898,0.1857,0.6956,0.1142,0.515,0.4089,0.7767,0.8167,0.7367,0.7767,0.8472,0.872,0.799,0.8439,0.1967,0.6704,0.1987,0.357,0.7191,0.7872,0.5904
