epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6838,0.7129,0.6686,0.67,0.7426,0.7697,0.739,0.7131,0.1043,0.7465,0.0706,0.6633,0.6115,0.7722,0.81,0.7233,0.7833,0.8435,0.8649,0.8057,0.8541,0.0933,0.8095,0.0793,0.5641,0.7034,0.7884,0.507
1,0.7262,0.74,0.7114,0.7271,0.7828,0.7991,0.7813,0.7646,0.1086,0.7877,0.0653,0.735,0.5539,0.78,0.8167,0.7333,0.79,0.8497,0.8688,0.8121,0.8599,0.1233,0.7744,0.1237,0.4962,0.7134,0.7963,0.4758
2,0.7524,0.7743,0.7429,0.74,0.8167,0.8266,0.8231,0.7893,0.1229,0.7725,0.0806,0.668,0.52,0.7789,0.8067,0.74,0.79,0.8536,0.8783,0.8197,0.8535,0.0933,0.8056,0.0493,0.6611,0.7227,0.8063,0.4978
3,0.7514,0.7686,0.7514,0.7343,0.8185,0.8323,0.8238,0.7929,0.1343,0.7626,0.0834,0.6846,0.524,0.7778,0.83,0.73,0.7733,0.8566,0.8839,0.8115,0.863,0.08,0.8222,0.0696,0.4882,0.7042,0.7941,0.5
4,0.7795,0.7914,0.7871,0.76,0.8442,0.8619,0.8399,0.8265,0.1386,0.7569,0.0652,0.7099,0.4917,0.7733,0.83,0.7267,0.7633,0.854,0.8799,0.8161,0.8533,0.0833,0.8188,0.0766,0.4701,0.6946,0.8022,0.5264
5,0.781,0.81,0.7643,0.7686,0.854,0.8741,0.8447,0.8354,0.1571,0.7337,0.1357,0.5134,0.4797,0.7767,0.8033,0.7267,0.8,0.8558,0.8876,0.8047,0.8593,0.1833,0.7194,0.2205,0.4487,0.7061,0.7878,0.5022
6,0.7952,0.81,0.7871,0.7886,0.8707,0.879,0.8643,0.8601,0.1486,0.7482,0.0986,0.6054,0.453,0.77,0.82,0.71,0.78,0.8487,0.8823,0.7955,0.854,0.0667,0.8496,0.0873,0.5641,0.6875,0.7772,0.5683
7,0.7971,0.7943,0.7971,0.8,0.8777,0.8744,0.8883,0.8606,0.1471,0.7412,0.0673,0.6798,0.4455,0.7578,0.8267,0.6967,0.75,0.8393,0.8925,0.7722,0.8407,0.11,0.7871,0.1584,0.3777,0.666,0.7481,0.5535
8,0.8033,0.8514,0.7786,0.78,0.8908,0.9145,0.8772,0.8751,0.1157,0.799,0.113,0.5344,0.4191,0.76,0.8133,0.71,0.7567,0.8422,0.8944,0.7852,0.8365,0.13,0.7692,0.1654,0.4487,0.6867,0.7554,0.5755
9,0.8343,0.8643,0.8186,0.82,0.9084,0.9357,0.8928,0.8916,0.1257,0.7827,0.0848,0.5664,0.3886,0.7656,0.81,0.7133,0.7733,0.8395,0.8797,0.7829,0.8407,0.11,0.8036,0.1371,0.5288,0.6932,0.7647,0.6634
10,0.8362,0.8429,0.8329,0.8329,0.9062,0.913,0.9092,0.8902,0.1586,0.7388,0.0763,0.6431,0.3954,0.7611,0.81,0.71,0.7633,0.8319,0.884,0.7655,0.8314,0.14,0.7654,0.1852,0.4639,0.6905,0.7434,0.6532
11,0.8495,0.8529,0.8371,0.8586,0.9229,0.9261,0.9193,0.9201,0.12,0.7889,0.0462,0.7101,0.3642,0.7533,0.82,0.6833,0.7567,0.8282,0.8978,0.7385,0.8332,0.09,0.8163,0.1338,0.4339,0.6608,0.7114,0.7703
12,0.8619,0.8614,0.8714,0.8529,0.9301,0.9162,0.9441,0.9242,0.15,0.75,0.0594,0.7113,0.3418,0.7489,0.7867,0.7,0.76,0.8225,0.8779,0.7494,0.8284,0.14,0.7766,0.1885,0.5288,0.6822,0.725,0.7817
13,0.871,0.8714,0.8729,0.8686,0.9429,0.9392,0.949,0.9352,0.1629,0.7318,0.0634,0.6117,0.3169,0.7578,0.7933,0.7,0.78,0.8365,0.8861,0.7609,0.8529,0.1,0.8148,0.1301,0.5384,0.6793,0.7328,0.8586
14,0.8843,0.8857,0.8757,0.8914,0.944,0.951,0.9397,0.9396,0.1271,0.7835,0.0368,0.7258,0.3207,0.7489,0.8067,0.68,0.76,0.8153,0.873,0.7327,0.8246,0.1267,0.7683,0.19,0.4029,0.6582,0.7092,0.9038
